title,link,date,content,clean_content,date_only
Заголовок отсутствует,https://lenta.ru/news/2024/12/12/bmw-so-sgorevshim-zazhivo-posle-dtp-okolo-kremlya-voditelem-snyali-na-video/,2024-12-12 19:10:01.871094,"Возле Кремля очевидцы сняли на видео BMW, в которой после аварии заживо сгорел водитель. Соответствующий ролик опубликован в Telegram-канале «112».Известно, что легковой автомобиль столкнулся с автобусом, из-за чего его отбросило в столб. После удара BMW загорелась, водителю выбраться не удалось.",возле кремля очевидцы сняли на видео bmw в которой после аварии заживо сгорел водитель соответствующий ролик опубликован в telegram канале  известно что легковой автомобиль столкнулся с автобусом из за чего его отбросило в столб после удара bmw загорелась водителю выбраться не удалось,2024-12-12
Заголовок отсутствует,https://lenta.ru/news/2024/12/12/politseyskie-instsenirovali-ubiystvo-i-shvatili-zakazavshego-prestuplenie-rossiyanina/,2024-12-12 19:10:01.922104,"В Башкирии полицейские инсценировали убийство московского бизнесмена, чтобы задержать жителя Ишимбая, заказавшего преступление. Об этом сообщила официальный представитель МВД России Ирина Волк и опубликовала оперативное видео в своем Telegram-канале.На кадрах видны силовики, которые хватают мужчину на улице и укладывают его на землю. Задержанного доставляют к следователю.По предварительным данным, что житель Ишимбая предложил знакомому, ранее судимому за другие преступления, за 200 тысяч рублей убить москвича. Заказчик также снабдил киллера пистолетом. О готовящемся преступлении узнали оперативники и решили инсценировать убийство. Были сделаны фотографии выполненного заказа, при их передаче подозреваемого задержали.Возбуждено уголовное дело, заказчик заключен под стражу.10 декабря сообщалось, что в Красноярске суд заочно приговорил подельника киллера из Латвии к 9 годам колонии строгого режима.",в башкирии полицейские инсценировали убийство московского бизнесмена чтобы задержать жителя ишимбая заказавшего преступление об этом сообщила официальный представитель мвд россии ирина волк и опубликовала оперативное видео в своем telegram канале на кадрах видны силовики которые хватают мужчину на улице и укладывают его на землю задержанного доставляют к следователю по предварительным данным что житель ишимбая предложил знакомому ранее судимому за другие преступления за  тысяч рублей убить москвича заказчик также снабдил киллера пистолетом о готовящемся преступлении узнали оперативники и решили инсценировать убийство были сделаны фотографии выполненного заказа при их передаче подозреваемого задержали возбуждено уголовное дело заказчик заключен под стражу  декабря сообщалось что в красноярске суд заочно приговорил подельника киллера из латвии к  годам колонии строгого режима,2024-12-12
Заголовок отсутствует,https://lenta.ru/news/2024/12/12/gosduma-rassmotrela-zakonoproekt-ob-obyazatelnom-vyhodnom-31-dekabrya-chto-reshili-deputaty/,2024-12-12 19:10:01.983614,"Госдума рассмотрела законопроект об обязательном выходном 31 декабря. Депутаты решили не включать этот день в перечень нерабочих праздничных дней.Авторы документа предложили добавить в этот перечень 31 декабря, а 8 января исключить, чтобы сохранить общее число выходных. По мнению инициаторов, когда на 31 декабря выпадает рабочий день, многие работники не в полном объеме выполняют свои задачи, а часть россиян берет отгулы или отпуска, чтобы успеть подготовиться к празднованию.Кроме того, добавить 31 декабря в список нерабочих праздничных дней просили и сами россияне: ряд граждан и организаций неоднократно обращались с этим запросом к властям.Материалы по теме:Производственный календарь на 2025 год: выходные и праздники, переносы.Как будут отдыхать россияне?25 ноября 2024Производственный календарь на декабрь 2024 года:рабочие и выходные дни перед праздниками25 ноября 2024Новогодние каникулы в 2024-2025 году:производственный календарь выходных и праздничных дней11 декабря 2024Минтруд оценил идею сделать 31 декабря официальным выходным днем В июне 2024 года министр труда и социальной защиты Антон Котяков сообщал, что его ведомство рассматривает возможность сделать 31 декабря нерабочим днем. Такое решение политик объяснил «запросом от общества».В перспективе мы сейчас, когда начнем формировать план на 2025 год, вполне вероятно, вернемся к этому вопросу — сделать ли 31 декабря официальным выходным днем. Запрос от общества на это большойАнтон Котяковминистр труда и социальной защиты РФО том, что 31 декабря следует сделать праздничным днем, Котяков также говорил в феврале. По его словам, люди становятся счастливее, когда праздников больше. «Мне кажется, вообще люди счастливы, когда большее количество выходных. Просто нужно обсуждать 31 число», — отметил он.Фото: Константин Кокошкин / КоммерсантъНа большой запрос со стороны общества указывала и член комитета Госдумы по труду, социальной политике и делам ветеранов Светлана Бессараб.Россиян ждет шестидневная рабочая неделя в декабреРанее гражданам напомнили о шестидневной рабочей неделе с 23 по 29 декабря. Шестидневка должна «компенсировать» последующие выходные.Так, выходной с субботы сдвинется на понедельник, 30 декабря. 31 декабря в 2024 году официально будет нерабочим днем. Таким образом, новогодние каникулы у россиян начнутся уже 29 декабря и продлятся до 8 января — всего 11 дней.А на первой рабочей неделе 2025 года будет всего два рабочих дня: 9 и 10 января.",госдума рассмотрела законопроект об обязательном выходном  декабря депутаты решили не включать этот день в перечень нерабочих праздничных дней авторы документа предложили добавить в этот перечень  декабря а  января исключить чтобы сохранить общее число выходных по мнению инициаторов когда на  декабря выпадает рабочий день многие работники не в полном объеме выполняют свои задачи а часть россиян берет отгулы или отпуска чтобы успеть подготовиться к празднованию кроме того добавить  декабря в список нерабочих праздничных дней просили и сами россияне ряд граждан и организаций неоднократно обращались с этим запросом к властям материалы по теме производственный календарь на  год выходные и праздники переносы как будут отдыхать россияне  ноября производственный календарь на декабрь  года рабочие и выходные дни перед праздниками ноября новогодние каникулы в   году производственный календарь выходных и праздничных дней декабря минтруд оценил идею сделать  декабря официальным выходным днем в июне  года министр труда и социальной защиты антон котяков сообщал что его ведомство рассматривает возможность сделать  декабря нерабочим днем такое решение политик объяснил запросом от общества в перспективе мы сейчас когда начнем формировать план на  год вполне вероятно вернемся к этому вопросу сделать ли  декабря официальным выходным днем запрос от общества на это большойантон котяковминистр труда и социальной защиты рфо том что  декабря следует сделать праздничным днем котяков также говорил в феврале по его словам люди становятся счастливее когда праздников больше мне кажется вообще люди счастливы когда большее количество выходных просто нужно обсуждать  число отметил он фото константин кокошкин коммерсантъна большой запрос со стороны общества указывала и член комитета госдумы по труду социальной политике и делам ветеранов светлана бессараб россиян ждет шестидневная рабочая неделя в декабреранее гражданам напомнили о шестидневной рабочей неделе с  по  декабря шестидневка должна компенсировать последующие выходные так выходной с субботы сдвинется на понедельник  декабря  декабря в  году официально будет нерабочим днем таким образом новогодние каникулы у россиян начнутся уже  декабря и продлятся до  января всего  дней а на первой рабочей неделе  года будет всего два рабочих дня  и  января,2024-12-12
Заголовок отсутствует,https://lenta.ru/news/2024/12/12/nedaleko-ot-kremlya-voditel-bmw-sgorel-zazhivo-posle-stolknoveniya-s-avtobusom/,2024-12-12 19:10:02.055627,"В центре Москвы недалеко от Кремля водитель BMW сгорел заживо после столкновения с автобусом. Об этом сообщает «Московский Комсомолец».ДТП произошло на улице Воздвиженка. По данным издания, водитель иномарки въехал в автобус, после чего машина загорелась. Спасти водителя не удалось. О других пострадавших на данный момент ничего неизвестно.Подробности аварии выясняются.Ранее на Новослободской улице в центре Москвы автомобилист вылетел на тротуар — машина протаранила дорожный знак. Сведений о пострадавших не поступало.",в центре москвы недалеко от кремля водитель bmw сгорел заживо после столкновения с автобусом об этом сообщает московский комсомолец дтп произошло на улице воздвиженка по данным издания водитель иномарки въехал в автобус после чего машина загорелась спасти водителя не удалось о других пострадавших на данный момент ничего неизвестно подробности аварии выясняются ранее на новослободской улице в центре москвы автомобилист вылетел на тротуар машина протаранила дорожный знак сведений о пострадавших не поступало,2024-12-12
Заголовок отсутствует,https://lenta.ru/news/2024/12/12/v-ssha-zayavili-o-pobede-rossii-v-konflikte-na-istoschenie-s-ukraino/,2024-12-12 19:10:02.106636,"Россия выигрывает украинский конфликт на истощение из-за превосходства своего военно-промышленного комплекса (ВПК). Об этом заявил бывший американский морпех Брайан Берлетик в эфире YouTube-канала Danny Haiphong.«Конфликт на Украине выигрывает Россия, потому что это война на истощение, а военно-промышленный потенциал России больше, чем у коллективного Запада», — сказал он.По словам эксперта, западные военные находятся прямо на границе с Украиной и могут перемещать на территорию страны свои ресурсы. Он уточнил, что российский ВПК сам по себе служит сдерживающим фактором в конфликте с Украиной.Ранее стало известно, что Евросоюз может создать коалицию для отправки войск на Украину. Уточняется, что в ней примут участие пять-восемь стран ЕС.",россия выигрывает украинский конфликт на истощение из за превосходства своего военно промышленного комплекса впк об этом заявил бывший американский морпех брайан берлетик в эфире youtube канала danny haiphong конфликт на украине выигрывает россия потому что это война на истощение а военно промышленный потенциал россии больше чем у коллективного запада сказал он по словам эксперта западные военные находятся прямо на границе с украиной и могут перемещать на территорию страны свои ресурсы он уточнил что российский впк сам по себе служит сдерживающим фактором в конфликте с украиной ранее стало известно что евросоюз может создать коалицию для отправки войск на украину уточняется что в ней примут участие пять восемь стран ес,2024-12-12
Заголовок отсутствует,https://lenta.ru/news/2024/12/12/rossiyskiy-politseyskiy-sluchayno-vystrelil-v-znakomogo/,2024-12-12 19:10:02.187675,"В Липецке полицейский случайно выстрелил в знакомого. Об этом «Ленте.ру» сообщили в ГУ МВД России по региону.Сотрудник МВД находился в служебной машине. Из-за небрежного обращения с огнестрельным оружием он ранил товарища. Пострадавшего госпитализировали, однако спасти его не удалось.По факту произошедшего проводится проверка. Правоохранители выясняют все обстоятельства произошедшегоРанее стало известно, что в Кемеровской области житель Белово открыл стрельбу по полицейским во время обыска.",в липецке полицейский случайно выстрелил в знакомого об этом ленте ру сообщили в гу мвд россии по региону сотрудник мвд находился в служебной машине из за небрежного обращения с огнестрельным оружием он ранил товарища пострадавшего госпитализировали однако спасти его не удалось по факту произошедшего проводится проверка правоохранители выясняют все обстоятельства произошедшегоранее стало известно что в кемеровской области житель белово открыл стрельбу по полицейским во время обыска,2024-12-12
Заголовок отсутствует,https://lenta.ru/news/2024/12/12/pevitsa-lyusya-chebotina-vyshla-v-svet-v-prozrachnom-oblegayuschem-platie/,2024-12-12 19:10:02.241684,"Российская певица Люся Чеботина посетила презентацию первого номера журнала «Мнение редакции» в откровенном образе. Соответствующие кадры появились в Telegram-канале журналистки Надежды Стрелец «Стрелец-Молодец».27-летняя поп-исполнительница вышла в свет в черном облегающем платье длины мини с прозрачными вставками, дополнив наряд серьгами и сумкой-клатчем Hermès. В то же время визажисты сделали звезде макияж в стиле смоки айс, а стилисты уложили распущенные светлые волосы.В сентябре Люся Чеботина показала фигуру в прозрачном корсете. Певица поделилась снимками, на которых была запечатлена в откровенном образе, оформленном кружевами. В качестве украшений Чеботина выбрала объемное кольцо и два сияющих браслета.",российская певица люся чеботина посетила презентацию первого номера журнала мнение редакции в откровенном образе соответствующие кадры появились в telegram канале журналистки надежды стрелец стрелец молодец  летняя поп исполнительница вышла в свет в черном облегающем платье длины мини с прозрачными вставками дополнив наряд серьгами и сумкой клатчем hermès в то же время визажисты сделали звезде макияж в стиле смоки айс а стилисты уложили распущенные светлые волосы в сентябре люся чеботина показала фигуру в прозрачном корсете певица поделилась снимками на которых была запечатлена в откровенном образе оформленном кружевами в качестве украшений чеботина выбрала объемное кольцо и два сияющих браслета,2024-12-12
Заголовок отсутствует,https://lenta.ru/news/2024/12/12/11-letnyaya-devochka-tri-dnya-provela-odna-v-otkrytom-more-i-vyzhila/,2024-12-12 19:10:02.305195,"11-летняя девочка из африканского государства Сьерра-Леоне три дня провела в открытом Средиземном море одна, после того как ее судно затонуло. Об этом сообщает BBC News.Девочку случайно нашли спасатели из организации Compass Collective. Они услышали ее крики о помощи, когда направлялись на другой вызов. «Невероятное совпадение, что мы услышали голос ребенка, несмотря на работающий двигатель», — отметил шкипер спасительного судна.Спасенная девочка рассказала, что вместе с 44 тунисцами она плыла в Европу, как вдруг их лодка перевернулась во время шторма. Какое-то время она видела на поверхности воды еще двух человек, но потом потеряла их.Материалы по теме:«Никто не узнает их судьбу»С корабля-призрака бесследно исчезли люди. В этом винили японских пиратов и советские подлодки18 октября 2020«Обреченность висела в воздухе»Они оказались в море среди акул и умирали один за другим. Выживших спасли советские моряки8 сентября 2019Предполагается, что из группы мигрантов выжила только девочка. Пока ее не обнаружили, она держалась на воде с помощью жилета и двух наполненных воздухом камер для шин. Несмотря на пережитое, беженка могла не только говорить, но и ходить и пострадала только от переохлаждения. Девочку доставили в Италию.Ранее сообщалось, что опытные дайверы провели 38 часов в штормовом океане у берегов штата Техас, США, и раскрыли секрет своего выживания. Они продолжали плыть, чтобы не замерзнуть, и использовали специальные фонарики для подачи сигнала бедствия.",летняя девочка из африканского государства сьерра леоне три дня провела в открытом средиземном море одна после того как ее судно затонуло об этом сообщает bbc news девочку случайно нашли спасатели из организации compass collective они услышали ее крики о помощи когда направлялись на другой вызов невероятное совпадение что мы услышали голос ребенка несмотря на работающий двигатель отметил шкипер спасительного судна спасенная девочка рассказала что вместе с  тунисцами она плыла в европу как вдруг их лодка перевернулась во время шторма какое то время она видела на поверхности воды еще двух человек но потом потеряла их материалы по теме никто не узнает их судьбу с корабля призрака бесследно исчезли люди в этом винили японских пиратов и советские подлодки октября  обреченность висела в воздухе они оказались в море среди акул и умирали один за другим выживших спасли советские моряки сентября предполагается что из группы мигрантов выжила только девочка пока ее не обнаружили она держалась на воде с помощью жилета и двух наполненных воздухом камер для шин несмотря на пережитое беженка могла не только говорить но и ходить и пострадала только от переохлаждения девочку доставили в италию ранее сообщалось что опытные дайверы провели  часов в штормовом океане у берегов штата техас сша и раскрыли секрет своего выживания они продолжали плыть чтобы не замерзнуть и использовали специальные фонарики для подачи сигнала бедствия,2024-12-12
Заголовок отсутствует,https://lenta.ru/news/2024/12/12/v-rossii-podschitali-kolichestvo-rynkov/,2024-12-12 19:10:02.365206,"С начала 2024 года официальное количество рынков в России снизилось на шесть процентов — до 717. Об этом заявил заместитель директора департамента развития внутренней торговли Минпромторга РФ Александр Лифинцев, его цитирует ТАСС.Чиновник подчеркнул, что рынки не закрылись, а вышли из-под требований законодательства. При этом снижение их числа наблюдается каждый квартал.«Например, в начале года было 760 рынков официально в России, в следующем квартале 750, потом 739, сейчас уже 717 рынков», — подсчитал Лифинцев.Он также добавил, что те требования для рынков, которые существуют в настоящее время, зачастую оказывается трудно выполнить.В начале лета 2021 года замглавы Минпромторга Виктор Евтухов прогнозировал увеличение количества рынков. Он не исключал, что их число вырастет вдвое. Однако это будет уже иной формат, предполагающий, в частности, соответствие всем нормам санитарной безопасности.В 2023 году власти России задумались о том, чтобы создавать в стране условия для проведения ярмарок, так как это позволит бороться с перекупщиками и обеспечивать потребителям более низкие цены.Это интересно!",с начала  года официальное количество рынков в россии снизилось на шесть процентов до  об этом заявил заместитель директора департамента развития внутренней торговли минпромторга рф александр лифинцев его цитирует тасс чиновник подчеркнул что рынки не закрылись а вышли из под требований законодательства при этом снижение их числа наблюдается каждый квартал например в начале года было  рынков официально в россии в следующем квартале  потом  сейчас уже  рынков подсчитал лифинцев он также добавил что те требования для рынков которые существуют в настоящее время зачастую оказывается трудно выполнить в начале лета  года замглавы минпромторга виктор евтухов прогнозировал увеличение количества рынков он не исключал что их число вырастет вдвое однако это будет уже иной формат предполагающий в частности соответствие всем нормам санитарной безопасности в  году власти россии задумались о том чтобы создавать в стране условия для проведения ярмарок так как это позволит бороться с перекупщиками и обеспечивать потребителям более низкие цены это интересно,2024-12-12
Заголовок отсутствует,https://lenta.ru/news/2024/12/12/glavnyy-flag-ukrainy-snimut-vtoroy-raz-za-nedelyu/,2024-12-12 19:10:02.419215,"Киевская городская государственная администрация (КГГА) снимет главный флаг Украины у монумента «Родина-мать» в Киеве. Сообщение опубликовано в Telegram-канале КГГА.«В Киеве из-за прогнозируемого ухудшения погоды снимут самый большой флаг страны», — рассказали в горадминистрации.Как сообщается, КГГА второй раз за неделю снимет самый крупный флаг Украины на флагштоке размером 16 на 24 метра. 13 декабря в Киеве ожидаются порывы ветра 15-20 метров в секунду. Сообщается, что флаг будет снят до улучшения погодных условий.10 декабря КГГА также спустила «главный государственный флаг Украины» из-за повреждений. Как сообщалось, полотно прапора пострадало в результате неблагоприятных погодных условий.",киевская городская государственная администрация кгга снимет главный флаг украины у монумента родина мать в киеве сообщение опубликовано в telegram канале кгга в киеве из за прогнозируемого ухудшения погоды снимут самый большой флаг страны рассказали в горадминистрации как сообщается кгга второй раз за неделю снимет самый крупный флаг украины на флагштоке размером  на  метра  декабря в киеве ожидаются порывы ветра   метров в секунду сообщается что флаг будет снят до улучшения погодных условий  декабря кгга также спустила главный государственный флаг украины из за повреждений как сообщалось полотно прапора пострадало в результате неблагоприятных погодных условий,2024-12-12
